name,rating,link,tag,rating_people
蔬果村的故事,8.9,https://movie.douban.com/subject/2143850/?from=subject-page,"动画,日本,日本动画,童年回忆,蔬果村的故事,童年,小神龙俱乐部,动画片",4689
拉曼查的堂·吉诃德,7.7,https://movie.douban.com/subject/1871150/?from=subject-page,"动画,西班牙,童年,堂·吉诃德,童年回忆,动画片,西班牙动画,卡通",4129
神父特德 第一季,8.7,https://movie.douban.com/subject/1756797/?from=subject-page,"英剧,喜剧,英国,爱尔兰,BBC,comedy,电视剧,UK",341
黑暗救赎,7.6,https://movie.douban.com/subject/10766141/?from=subject-page,"英剧,BBC,AndrewScott,ChristopherEccleston,英国,犯罪,2012,剧情",199
窥视秀 第一季,8.7,https://movie.douban.com/subject/2111535/?from=subject-page,"英剧,英国,喜剧,黑色幽默,comedy,Channel4,2003,uk",549
Q版猫和老鼠,9.3,https://movie.douban.com/subject/2138382/?from=subject-page,"动画,美国,猫和老鼠,经典,童年,动画片,喜剧,卡通",42412
The Armando Iannucci Shows,,https://movie.douban.com/subject/5132564/?from=subject-page,"英剧,英国,喜剧,UK,TV,黑色幽默,腐国黑,ArmandoIannucci",
荒唐阿姨 第一季,8.7,https://movie.douban.com/subject/1460722/?from=subject-page,"英剧,喜剧,BBC,英国,UK,comedy,1992,TV",187
疯狂的生活 第一季,7.8,https://movie.douban.com/subject/4720220/?from=subject-page,"英剧,BBC,喜剧,英国,UK,Comedy,电视剧,2007",92
火眼金睛,,https://movie.douban.com/subject/5109527/?from=subject-page,"英剧,喜剧,ChrisMorris,英国,TV,1997,电视剧,1990s",
我是艾伦·帕特奇 第一季,8.4,https://movie.douban.com/subject/1875340/?from=subject-page,"英剧,英国,喜剧,BBC,SteveCoogan,Steve_Coogan,搞笑,1997",109
特种部队：美国英雄,8.4,https://movie.douban.com/subject/1797744/?from=subject-page,"动画,美国,特种部队,童年回忆,童年,美国动画,动画片,1983",2544
宇宙骑士,9.0,https://movie.douban.com/subject/1779379/?from=subject-page,"动画,日本,宇宙骑士,日本动画,童年,科幻,经典,童年回忆",11632
